,image,array,num_label
11,14134251-ecd3-48a9-add2-da7c35961c6e,"[[0.00243414 0.00253408 0.01400861 ... 0.00930082 0.00693242 0.00404226]
 [0.00495769 0.00495769 0.00461753 ... 0.01946023 0.01180548 0.00693242]
 [0.03702395 0.03840868 0.03634004 ... 0.01903577 0.01082879 0.00310027]
 ...
 [0.00294118 0.00296712 0.0021998  ... 0.00277297 0.00554594 0.00277297]
 [0.00219222 0.0016511  0.0021998  ... 0.00277297 0.00554594 0.00277297]
 [0.         0.00080527 0.0021998  ... 0.00277297 0.00554594 0.00277297]]",3
12,5f0a3fa0-6a3d-4b68-b213-72766a643de7,"[[0.00509749 0.00647384 0.00947782 ... 0.         0.00063069 0.00141026]
 [0.02341388 0.02277471 0.01921334 ... 0.00223425 0.00248089 0.00254505]
 [0.05972931 0.06048213 0.0591784  ... 0.00238574 0.00285068 0.00374816]
 ...
 [0.01386484 0.02218374 0.00277297 ... 0.00310027 0.00571662 0.00404226]
 [0.01386484 0.02218374 0.00277297 ... 0.00392157 0.00657667 0.00353485]
 [0.01386484 0.02218374 0.00277297 ... 0.00392157 0.00790417 0.00490196]]",0
13,bbb7cf34-ca92-4471-a1e0-df0cea61e9dd,"[[0.00277297 0.01090248 0.01915656 ... 0.00112233 0.00074967 0.00267343]
 [0.00404226 0.01161642 0.01777106 ... 0.00318947 0.00280281 0.00294326]
 [0.00491995 0.0127956  0.01832155 ... 0.00493231 0.00486108 0.00385182]
 ...
 [0.00277297 0.00277297 0.00277297 ... 0.00620054 0.00219222 0.00277297]
 [0.00277297 0.00277297 0.00277297 ... 0.00392157 0.00415945 0.00404226]
 [0.00277297 0.00277297 0.00277297 ... 0.00219222 0.00693242 0.00527957]]",2
14,dae8c9d7-d344-499e-9253-57bb2a777fe5,"[[3.92523115e-17 3.92523115e-17 9.80392157e-04 ... 2.24958506e-02
  4.02634450e-02 4.77079414e-02]
 [3.92523115e-17 9.80392157e-04 2.94117647e-03 ... 2.59417989e-02
  1.59515176e-02 4.75970043e-02]
 [9.80392157e-04 2.94117647e-03 3.92156863e-03 ... 6.06787795e-02
  4.53486090e-02 1.67377598e-02]
 ...
 [3.92156863e-03 7.46644422e-03 8.76889403e-03 ... 5.56033188e-03
  5.56033188e-03 5.54593554e-03]
 [3.92156863e-03 7.46644422e-03 8.76889403e-03 ... 5.56033188e-03
  5.56033188e-03 5.54593554e-03]
 [3.92156863e-03 7.90417426e-03 8.43365222e-03 ... 2.80164948e-03
  2.80164948e-03 2.77296777e-03]]",5
15,2030d1b9-42f8-4e67-8d21-2f41d7480ec6,"[[0.00219222 0.00310027 0.00527957 ... 0.00843365 0.01607963 0.00876889]
 [0.00294118 0.00310027 0.00404226 ... 0.00808452 0.01550136 0.01176471]
 [0.00527957 0.00499904 0.00596349 ... 0.00596349 0.01386484 0.01289505]
 ...
 [0.03828554 0.03507232 0.02773042 ... 0.00832131 0.00350149 0.00140047]
 [0.02963964 0.02800652 0.02478447 ... 0.01458545 0.0120031  0.01120439]
 [0.01078431 0.01316061 0.00803004 ... 0.01321793 0.0097074  0.00846835]]",3
16,7d3a88e9-2fb3-4044-bdb2-5bbdf66d8a1b,"[[0.00390945 0.00270739 0.003255   ... 0.00921753 0.03049738 0.01905338]
 [0.01018152 0.00954197 0.00890291 ... 0.02760177 0.02676133 0.01701562]
 [0.01338699 0.01467491 0.01413318 ... 0.02995232 0.03070974 0.02333552]
 ...
 [0.00277297 0.00627757 0.00527957 ... 0.01862745 0.01970564 0.01192699]
 [0.00620054 0.00784314 0.00686275 ... 0.01669548 0.01117819 0.00353485]
 [0.00392157 0.00620054 0.00620054 ... 0.01117819 0.00310027 0.00219222]]",4
17,2cd28b7c-b772-4dfa-9336-d08b14e41444,"[[0.08981163 0.0372678  0.15902009 ... 0.16161015 0.09232879 0.1534713 ]
 [0.121002   0.0484278  0.24594364 ... 0.10331864 0.13000828 0.16763559]
 [0.0775254  0.11318329 0.2629645  ... 0.01631698 0.02371252 0.10897799]
 ...
 [0.10633979 0.16707275 0.082522   ... 0.22294616 0.12441389 0.04540977]
 [0.03001025 0.08130165 0.0342015  ... 0.16523652 0.13143658 0.10732882]
 [0.0570989  0.0766965  0.04411765 ... 0.05822825 0.01090271 0.09300285]]",4
18,6ebafad6-334a-40c6-93c6-a3ab854f5efa,"[[0.02565932 0.0346621  0.0330728  ... 0.09126077 0.11936652 0.12845756]
 [0.06450504 0.10283374 0.12314366 ... 0.1226431  0.1643232  0.15132378]
 [0.1211449  0.1999255  0.2316922  ... 0.03258975 0.07904174 0.08771634]
 ...
 [0.03481428 0.04136279 0.05902742 ... 0.01692419 0.02330366 0.03952087]
 [0.05589095 0.06102104 0.08511362 ... 0.00876889 0.00887783 0.01060456]
 [0.02809127 0.02981746 0.06142139 ... 0.0206814  0.01493289 0.01493289]]",0
19,09b9df3b-46c1-4909-b16c-1ac92868217d,"[[0.01493289 0.01753779 0.00438445 ... 0.         0.         0.        ]
 [0.01616904 0.01767427 0.00686275 ... 0.         0.         0.        ]
 [0.01386484 0.01457458 0.00706971 ... 0.         0.         0.        ]
 ...
 [0.03346284 0.02385397 0.03946002 ... 0.01873037 0.02511029 0.0127451 ]
 [0.03248636 0.0267595  0.03333333 ... 0.0202113  0.02725772 0.01403708]
 [0.02809127 0.02692065 0.02863349 ... 0.0215909  0.02786798 0.01413942]]",6
20,027a10cb-97f0-46f3-b670-611e481bb8fe,"[[0.00181729 0.00466313 0.00866866 ... 0.0040899  0.02331711 0.01783473]
 [0.00694394 0.00235442 0.00555034 ... 0.01158302 0.02128038 0.02356696]
 [0.02074963 0.01723538 0.01143645 ... 0.01558126 0.012322   0.01245538]
 ...
 [0.02324171 0.02711631 0.02543357 ... 0.01471263 0.00903877 0.00415945]
 [0.02324171 0.02639787 0.02505281 ... 0.01556494 0.01110247 0.00367128]
 [0.00882353 0.01403708 0.00999808 ... 0.01233593 0.01545352 0.0073745 ]]",4
21,7b6b898d-fb33-4cb3-bc01-7013feadebb7,"[[0.00277297 0.00277297 0.00277297 ... 0.01663781 0.12755652 0.09150794]
 [0.00554594 0.00554594 0.00554594 ... 0.01595963 0.12688032 0.09154994]
 [0.0083189  0.0083189  0.0083189  ... 0.01550136 0.1262005  0.09154994]
 ...
 [0.00554594 0.00620054 0.00784314 ... 0.02610495 0.16920217 0.14081176]
 [0.00554594 0.00620054 0.00784314 ... 0.0255655  0.16924193 0.14153006]
 [0.00277297 0.00392157 0.00620054 ... 0.02511029 0.16917376 0.14144854]]",0
22,662d378c-734f-413d-918f-f7cd82a41518,"[[2.19222351e-03 3.10027222e-03 9.80392157e-04 ... 2.77296777e-03
  4.90196078e-03 2.94117647e-03]
 [9.80392157e-04 3.10027222e-03 2.19222351e-03 ... 2.94117647e-03
  2.77296777e-03 2.19222351e-03]
 [2.19222351e-03 3.10027222e-03 2.94117647e-03 ... 2.19222351e-03
  9.80392157e-04 3.92523115e-17]
 ...
 [5.62531106e-03 5.74643375e-03 6.93706367e-03 ... 4.99903874e-03
  1.14332390e-02 6.20054443e-03]
 [6.79249716e-03 7.63885535e-03 3.56618115e-03 ... 4.99903874e-03
  1.14332390e-02 6.20054443e-03]
 [5.71086369e-03 4.55576921e-03 1.06018938e-02 ... 4.90196078e-03
  1.10918711e-02 5.54593554e-03]]",5
23,4e3ea56c-e4e4-4ac4-9981-3491f62a7815,"[[2.01754177e-02 4.38178093e-02 2.56480578e-02 ... 2.94686823e-03
  9.74722469e-04 9.81307787e-18]
 [1.95996404e-02 4.27051400e-02 2.64233222e-02 ... 5.88804196e-03
  1.96647881e-03 9.81307787e-18]
 [1.72667350e-02 3.85846936e-02 2.66008010e-02 ... 6.83336035e-03
  3.95737842e-03 9.81307787e-18]
 ...
 [1.38648388e-02 1.90357724e-02 1.08287853e-02 ... 1.28625794e-02
  1.00119731e-02 5.75077784e-03]
 [1.38648388e-02 1.69241926e-02 5.27957334e-03 ... 1.52018623e-02
  6.55508806e-03 2.77296777e-03]
 [9.99807748e-03 1.27450980e-02 4.04226042e-03 ... 1.78940297e-02
  3.62944530e-03 4.90653893e-18]]",2
25,f5bb1e14-cec6-436d-b13d-66a30d91e330,"[[2.77296777e-03 2.94117647e-03 2.19222351e-03 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [5.54593554e-03 4.90196078e-03 3.53485419e-03 ... 0.00000000e+00
  9.80392157e-04 2.19222351e-03]
 [2.77296777e-03 2.77296777e-03 2.77296777e-03 ... 2.19222351e-03
  3.10027222e-03 3.10027222e-03]
 ...
 [3.92523115e-17 2.77296777e-03 2.77296777e-03 ... 1.96261557e-17
  1.96261557e-17 1.96261557e-17]
 [3.92523115e-17 2.77296777e-03 2.77296777e-03 ... 1.96261557e-17
  1.96261557e-17 1.96261557e-17]
 [3.92523115e-17 2.77296777e-03 2.77296777e-03 ... 1.96261557e-17
  1.96261557e-17 1.96261557e-17]]",5
26,5b62c0d7-d046-4b73-a61f-3dec701ad622,"[[5.98968911e-03 6.40978235e-03 7.46644422e-03 ... 2.77296777e-03
  2.77296777e-03 2.77296777e-03]
 [1.16848418e-02 1.23362557e-02 1.37261959e-02 ... 8.31890331e-03
  8.31890331e-03 8.31890331e-03]
 [6.40978235e-03 8.61582362e-03 1.06283989e-02 ... 1.10918711e-02
  1.10918711e-02 1.10918711e-02]
 ...
 [1.88327183e-02 1.84980022e-02 1.93363558e-02 ... 2.16014189e-04
  2.16014189e-04 2.16014189e-04]
 [3.05341402e-02 3.00102507e-02 2.80399013e-02 ... 5.89255651e-04
  5.89255651e-04 5.89255651e-04]
 [1.47058824e-02 1.55013611e-02 1.39339906e-02 ... 9.81307787e-18
  9.81307787e-18 9.81307787e-18]]",7
27,62309a10-d8ff-4f5c-bfb5-85ed0c2682dc,"[[0.00657667 0.01473853 0.02924791 ... 0.00930082 0.00790417 0.00620054]
 [0.00353485 0.00490196 0.02176824 ... 0.01082879 0.01078431 0.00876889]
 [0.02725772 0.02573413 0.0242139  ... 0.00790417 0.00765711 0.00277297]
 ...
 [0.01247835 0.00903877 0.00808452 ... 0.03424363 0.03258975 0.02387411]
 [0.00790417 0.00657667 0.00790417 ... 0.02788982 0.03249253 0.03162446]
 [0.00392157 0.00392157 0.00620054 ... 0.0164381  0.01961353 0.01842746]]",5
28,f8bf0483-4bb9-4194-a7c9-310cf5cf192f,"[[0.00620054 0.01883272 0.02981746 ... 0.02843137 0.01143324 0.00706971]
 [0.00784314 0.01885822 0.0288342  ... 0.03128229 0.01581047 0.00219985]
 [0.00999808 0.01985143 0.02895063 ... 0.02896434 0.00808866 0.01904368]
 ...
 [0.009249   0.01499709 0.01927075 ... 0.03200947 0.03233808 0.02357023]
 [0.01023559 0.01536214 0.01746585 ... 0.01775566 0.03695701 0.04884282]
 [0.0127451  0.02160926 0.0208078  ... 0.00882353 0.0202113  0.02843137]]",6
29,abf87a41-fc2c-4ad9-a4a8-1b875cb73eed,"[[0.00294118 0.00490196 0.00765711 ... 0.00277297 0.00277297 0.        ]
 [0.00490196 0.00392157 0.00554594 ... 0.00277297 0.00277297 0.        ]
 [0.00277297 0.00310027 0.00404226 ... 0.00277297 0.00277297 0.        ]
 ...
 [0.00277297 0.00310027 0.00392157 ... 0.00310027 0.00219222 0.00277297]
 [0.00219222 0.00196078 0.00294118 ... 0.00392157 0.00310027 0.00277297]
 [0.00294118 0.00219222 0.00098039 ... 0.00310027 0.00098039 0.        ]]",4
30,9c97e52f-7cf4-4aa5-87e4-c3478108aa22,"[[3.92523115e-17 3.92523115e-17 3.92523115e-17 ... 5.43117034e-02
  1.66743600e-02 6.20054443e-03]
 [3.92523115e-17 3.92523115e-17 3.92523115e-17 ... 5.65517278e-02
  2.00028465e-02 1.14332390e-02]
 [3.92523115e-17 3.92523115e-17 3.92523115e-17 ... 5.65517278e-02
  1.83222381e-02 8.76889403e-03]
 ...
 [1.06045626e-02 8.76889403e-03 6.20054443e-03 ... 4.68010646e-02
  2.11333659e-02 6.68587159e-03]
 [6.20054443e-03 6.86274510e-03 5.96349268e-03 ... 9.74830719e-03
  2.18312355e-02 2.27494350e-02]
 [2.77296777e-03 5.54593554e-03 5.54593554e-03 ... 1.90054467e-02
  2.13497983e-02 1.38103092e-02]]",5
31,5a8598c8-3756-4bb7-8e22-4bdefe86c18d,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.96261557e-17
  1.96261557e-17 1.96261557e-17]
 [2.77296777e-03 2.77296777e-03 2.77296777e-03 ... 1.96261557e-17
  1.96261557e-17 1.96261557e-17]
 [2.77296777e-03 2.77296777e-03 2.77296777e-03 ... 2.77296777e-03
  2.77296777e-03 2.77296777e-03]
 ...
 [1.94602287e-02 3.05217035e-02 1.78433201e-02 ... 6.27757278e-03
  1.53455646e-02 1.27827498e-02]
 [1.84198963e-02 2.44226920e-02 2.51741567e-02 ... 9.65574294e-03
  2.23563809e-02 1.48360254e-02]
 [1.66378066e-02 1.73012854e-02 2.41482428e-02 ... 1.27827498e-02
  2.84313725e-02 1.58083485e-02]]",8
32,3c354594-6ed1-407d-b034-2c414fddbaa8,"[[0.05367143 0.047597   0.10234186 ... 0.03045534 0.156973   0.10628102]
 [0.06060219 0.03346284 0.07865776 ... 0.05666802 0.15237767 0.10399553]
 [0.02949335 0.0598762  0.06009252 ... 0.08467774 0.09582299 0.075184  ]
 ...
 [0.01595963 0.05393048 0.08843116 ... 0.04804922 0.0737969  0.04706903]
 [0.0581993  0.05061141 0.03999231 ... 0.02280334 0.10275427 0.075184  ]
 [0.02993007 0.00686275 0.05784314 ... 0.04827871 0.12856601 0.08944702]]",0
33,ed22b4d2-a0ba-406d-8107-dc98a196cbcc,"[[3.53485419e-03 8.43365222e-03 1.04217116e-02 ... 7.06970838e-03
  1.19672114e-02 6.86274510e-03]
 [4.99903874e-03 8.76889403e-03 1.00937550e-02 ... 1.96078431e-03
  8.87782857e-03 1.27827498e-02]
 [5.96349268e-03 9.30081665e-03 1.05591467e-02 ... 7.06970838e-03
  7.46644422e-03 1.24783550e-02]
 ...
 [1.96261557e-17 2.77296777e-03 2.77296777e-03 ... 7.65710753e-03
  1.06045626e-02 1.33347750e-02]
 [1.96261557e-17 2.77296777e-03 2.77296777e-03 ... 7.13736264e-03
  1.11781904e-02 1.14332390e-02]
 [1.96261557e-17 2.77296777e-03 2.77296777e-03 ... 7.46644422e-03
  9.03876908e-03 6.20054443e-03]]",3
34,d7c67097-288d-4d10-b6cb-11d97c1507b2,"[[3.92523115e-17 3.92523115e-17 3.92523115e-17 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [2.77296777e-03 2.77296777e-03 2.77296777e-03 ... 2.77296777e-03
  2.77296777e-03 2.77296777e-03]
 [2.77296777e-03 2.77296777e-03 2.77296777e-03 ... 2.77296777e-03
  2.77296777e-03 2.77296777e-03]
 ...
 [2.77296777e-03 3.10027222e-03 3.92156863e-03 ... 2.77296777e-03
  2.77296777e-03 2.77296777e-03]
 [1.96261557e-17 9.80392157e-04 2.94117647e-03 ... 2.77296777e-03
  2.77296777e-03 2.77296777e-03]
 [1.96261557e-17 1.96261557e-17 9.80392157e-04 ... 1.96261557e-17
  1.96261557e-17 1.96261557e-17]]",1
35,d1dd492a-77b6-4d76-bc22-852cda12c437,"[[0.02640369 0.05975824 0.05953197 ... 0.01376046 0.00784314 0.00196078]
 [0.02846959 0.03622176 0.04871897 ... 0.01550136 0.00657667 0.00219222]
 [0.04361725 0.03579134 0.03400802 ... 0.00490196 0.01082879 0.00930082]
 ...
 [0.00433552 0.02604388 0.03430617 ... 0.00350149 0.00213801 0.00098039]
 [0.01752581 0.0480369  0.04382043 ... 0.00394432 0.00280504 0.00219222]
 [0.02081718 0.05351578 0.03180533 ... 0.00387429 0.00334148 0.00277297]]",8
36,a0cfdcc7-74f1-4189-b2e6-82ceb9c41085,"[[1.96261557e-17 1.96261557e-17 1.96261557e-17 ... 2.77296777e-03
  1.96261557e-17 1.96261557e-17]
 [1.96261557e-17 1.96261557e-17 1.96261557e-17 ... 3.10027222e-03
  9.80392157e-04 1.96261557e-17]
 [2.77296777e-03 2.77296777e-03 2.77296777e-03 ... 3.92156863e-03
  3.10027222e-03 2.77296777e-03]
 ...
 [4.99903874e-03 8.43365222e-03 1.11781904e-02 ... 9.80392157e-04
  4.15945165e-03 5.54593554e-03]
 [4.90196078e-03 5.27957334e-03 7.90417426e-03 ... 4.15945165e-03
  3.92156863e-03 4.90196078e-03]
 [2.77296777e-03 1.96078431e-03 4.38444701e-03 ... 5.54593554e-03
  4.90196078e-03 2.94117647e-03]]",0
37,d7c07f9f-8362-4abc-92aa-193221a7db5b,"[[0.02654311 0.0245098  0.01483603 ... 0.02171765 0.03220721 0.02666164]
 [0.03276623 0.00404226 0.0245294  ... 0.0187936  0.02930568 0.03979097]
 [0.02354983 0.02924791 0.01583872 ... 0.00700561 0.00649656 0.01147333]
 ...
 [0.06185919 0.06474683 0.09200494 ... 0.02499519 0.02192224 0.018498  ]
 [0.00467361 0.0146044  0.07154203 ... 0.01333478 0.03115735 0.03552484]
 [0.03555576 0.03830463 0.07129892 ... 0.01393399 0.02170191 0.01403708]]",9
38,7f66f5dd-b7dd-4cea-8a02-7ef4f01ef79d,"[[0.03732648 0.03769858 0.02432024 ... 0.10048205 0.13247375 0.06710496]
 [0.02761294 0.0251563  0.01684788 ... 0.16243599 0.11712341 0.03516744]
 [0.07737254 0.07585518 0.05390222 ... 0.12867933 0.04259287 0.0306311 ]
 ...
 [0.00277297 0.00277297 0.00277297 ... 0.00277297 0.00277297 0.00277297]
 [0.00277297 0.00277297 0.00277297 ... 0.00277297 0.00277297 0.00277297]
 [0.00277297 0.00277297 0.00277297 ... 0.00277297 0.00277297 0.00277297]]",0
39,efb95540-2516-4117-bef9-021a27eee668,"[[0.02863349 0.02239933 0.01278275 ... 0.01675295 0.0202113  0.01799761]
 [0.01946023 0.01096112 0.00404226 ... 0.01767427 0.01457458 0.01228428]
 [0.01903577 0.01860163 0.01521978 ... 0.00686275 0.01403708 0.01413942]
 ...
 [0.01333478 0.02634319 0.01060456 ... 0.02018751 0.01483603 0.01802429]
 [0.01493289 0.027747   0.01278275 ... 0.0198272  0.00196078 0.00765711]
 [0.01616904 0.02718711 0.01308006 ... 0.01278275 0.00790417 0.00438445]]",3
40,72512c3a-98b8-46e9-bdd6-60ef4261f325,"[[0.         0.         0.         ... 0.02711631 0.01669548 0.00790417]
 [0.         0.         0.         ... 0.02569322 0.0166569  0.00641474]
 [0.         0.         0.         ... 0.02565016 0.0166569  0.00624004]
 ...
 [0.01060456 0.00999808 0.00999808 ... 0.00098039 0.00985282 0.01315334]
 [0.00075062 0.00364619 0.00758825 ... 0.01308273 0.01397842 0.0088346 ]
 [0.00236756 0.00313833 0.00532422 ... 0.01599712 0.02025537 0.010403  ]]",8
41,7fb44e44-48e0-418c-9f28-695cf29997ad,"[[1.19269854e-02 1.41394168e-02 4.38444701e-03 ... 2.20315736e-02
  4.00043250e-02 5.55026661e-02]
 [1.05591467e-02 4.04226042e-03 1.21267813e-02 ... 2.98174634e-02
  6.51794907e-02 7.58712055e-02]
 [1.14751960e-02 2.57341270e-02 2.88341984e-02 ... 4.51406448e-02
  3.84358741e-02 2.25490196e-02]
 ...
 [9.65574294e-03 1.58083485e-02 2.49951937e-02 ... 4.36797439e-02
  5.55026661e-02 4.69156318e-02]
 [9.24900111e-03 7.90417426e-03 1.83152370e-02 ... 3.02018075e-02
  1.84198963e-02 1.59596280e-02]
 [4.38444701e-03 1.09713546e-17 8.82352941e-03 ... 3.82478612e-02
  2.15908976e-02 1.49328884e-02]]",0
42,ce1c9b72-9889-41cd-8ed1-e6eb4305af68,"[[0.00527957 0.00843365 0.01184612 ... 0.0114752  0.00746644 0.00219222]
 [0.00353485 0.00353485 0.01362004 ... 0.00693242 0.00596349 0.00765711]
 [0.00713736 0.00999808 0.01228428 ... 0.01333478 0.01663781 0.01873037]
 ...
 [0.01607963 0.01447532 0.01096112 ... 0.02496345 0.02059499 0.01452573]
 [0.0168673  0.01712181 0.01521978 ... 0.02679439 0.02827389 0.0257034 ]
 [0.00876889 0.01078431 0.01212678 ... 0.00970539 0.01333478 0.01413942]]",0
43,d4d57319-3c65-4b8d-b4a2-4c1e185933ad,"[[0.00554594 0.00490196 0.00404226 ... 0.01386484 0.01386484 0.00554594]
 [0.01318983 0.01196721 0.00970539 ... 0.01362004 0.01413942 0.00620054]
 [0.01607963 0.01496504 0.01278275 ... 0.01308006 0.01315334 0.00620054]
 ...
 [0.00353485 0.00620054 0.009249   ... 0.00392157 0.00310027 0.00277297]
 [0.00554594 0.00693242 0.01060456 ... 0.00294118 0.00294118 0.00098039]
 [0.00277297 0.00404226 0.00686275 ... 0.00098039 0.00310027 0.00219222]]",0
